danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.429,0.59,2,-9.673,1,0.0403,0.0219,0.905,0.141,0.0503,134.255,audio_features,6ab52dV6RWDbdDb8xbQ8Uz,spotify:track:6ab52dV6RWDbdDb8xbQ8Uz,https://api.spotify.com/v1/tracks/6ab52dV6RWDbdDb8xbQ8Uz,https://api.spotify.com/v1/audio-analysis/6ab52dV6RWDbdDb8xbQ8Uz,219014,4
0.621,0.968,6,-7.625,0,0.0674,0.013,0.916,0.811,0.0315,125.0,audio_features,6jdaBz780wecXanS9elu68,spotify:track:6jdaBz780wecXanS9elu68,https://api.spotify.com/v1/tracks/6jdaBz780wecXanS9elu68,https://api.spotify.com/v1/audio-analysis/6jdaBz780wecXanS9elu68,278400,4
0.694,0.715,3,-12.338,0,0.0405,0.473,0.87,0.103,0.581,121.998,audio_features,2KPzCuzQYlgKL5nn07iF0L,spotify:track:2KPzCuzQYlgKL5nn07iF0L,https://api.spotify.com/v1/tracks/2KPzCuzQYlgKL5nn07iF0L,https://api.spotify.com/v1/audio-analysis/2KPzCuzQYlgKL5nn07iF0L,411148,4
0.569,0.687,10,-9.733,0,0.032,5.72e-05,0.94,0.102,0.375,122.008,audio_features,0cAarkhbKeI6z0YnpwjyLP,spotify:track:0cAarkhbKeI6z0YnpwjyLP,https://api.spotify.com/v1/tracks/0cAarkhbKeI6z0YnpwjyLP,https://api.spotify.com/v1/audio-analysis/0cAarkhbKeI6z0YnpwjyLP,448751,4
0.633,0.92,9,-2.812,1,0.0928,0.00764,0.00177,0.123,0.154,114.997,audio_features,4XeIiGpUBshIfs9yrBDVZC,spotify:track:4XeIiGpUBshIfs9yrBDVZC,https://api.spotify.com/v1/tracks/4XeIiGpUBshIfs9yrBDVZC,https://api.spotify.com/v1/audio-analysis/4XeIiGpUBshIfs9yrBDVZC,359126,4
0.675,0.759,6,-13.982,0,0.0543,0.516,0.934,0.372,0.129,127.991,audio_features,7dYjEwbLJ1B5reoz3lWra0,spotify:track:7dYjEwbLJ1B5reoz3lWra0,https://api.spotify.com/v1/tracks/7dYjEwbLJ1B5reoz3lWra0,https://api.spotify.com/v1/audio-analysis/7dYjEwbLJ1B5reoz3lWra0,342000,4
0.761,0.958,6,-4.939,0,0.141,0.00923,0.00867,0.098,0.49,134.033,audio_features,1447z3NQY5Dg6oik6Zh5rw,spotify:track:1447z3NQY5Dg6oik6Zh5rw,https://api.spotify.com/v1/tracks/1447z3NQY5Dg6oik6Zh5rw,https://api.spotify.com/v1/audio-analysis/1447z3NQY5Dg6oik6Zh5rw,385075,4
0.606,0.721,10,-8.464,0,0.0444,0.00695,0.925,0.0934,0.179,130.004,audio_features,7chz1SlXVtLKwassrRkA80,spotify:track:7chz1SlXVtLKwassrRkA80,https://api.spotify.com/v1/tracks/7chz1SlXVtLKwassrRkA80,https://api.spotify.com/v1/audio-analysis/7chz1SlXVtLKwassrRkA80,450462,4
0.717,0.608,7,-10.453,1,0.0506,0.00708,0.817,0.111,0.0684,127.999,audio_features,4NIyNBgxGk4BQg52zyCTxP,spotify:track:4NIyNBgxGk4BQg52zyCTxP,https://api.spotify.com/v1/tracks/4NIyNBgxGk4BQg52zyCTxP,https://api.spotify.com/v1/audio-analysis/4NIyNBgxGk4BQg52zyCTxP,370283,4
0.789,0.61,1,-10.846,1,0.0631,0.0179,0.902,0.108,0.196,124.998,audio_features,5fd4byqaxsTam7lbq1ZCbk,spotify:track:5fd4byqaxsTam7lbq1ZCbk,https://api.spotify.com/v1/tracks/5fd4byqaxsTam7lbq1ZCbk,https://api.spotify.com/v1/audio-analysis/5fd4byqaxsTam7lbq1ZCbk,419355,3
0.591,0.678,5,-12.159,1,0.0375,0.236,0.897,0.109,0.11,123.993,audio_features,56mGMAQHrQgiUGcNcJhCI0,spotify:track:56mGMAQHrQgiUGcNcJhCI0,https://api.spotify.com/v1/tracks/56mGMAQHrQgiUGcNcJhCI0,https://api.spotify.com/v1/audio-analysis/56mGMAQHrQgiUGcNcJhCI0,671853,4
0.711,0.758,7,-8.843,1,0.0461,0.000706,0.91,0.15,0.329,121.015,audio_features,35pbgfiWCEZkufVkmM49dv,spotify:track:35pbgfiWCEZkufVkmM49dv,https://api.spotify.com/v1/tracks/35pbgfiWCEZkufVkmM49dv,https://api.spotify.com/v1/audio-analysis/35pbgfiWCEZkufVkmM49dv,335073,4
0.852,0.673,6,-10.717,1,0.0613,0.00228,0.441,0.421,0.831,127.006,audio_features,3Q4dGPkUXbbCIiMHS0wYbz,spotify:track:3Q4dGPkUXbbCIiMHS0wYbz,https://api.spotify.com/v1/tracks/3Q4dGPkUXbbCIiMHS0wYbz,https://api.spotify.com/v1/audio-analysis/3Q4dGPkUXbbCIiMHS0wYbz,292913,4
0.651,0.941,10,-6.21,0,0.0348,0.00412,0.634,0.128,0.422,122.0,audio_features,5uSes1JmUzam7YOCv1dPy2,spotify:track:5uSes1JmUzam7YOCv1dPy2,https://api.spotify.com/v1/tracks/5uSes1JmUzam7YOCv1dPy2,https://api.spotify.com/v1/audio-analysis/5uSes1JmUzam7YOCv1dPy2,210492,4
0.627,0.69,10,-10.731,0,0.0411,0.0819,0.957,0.166,0.277,125.002,audio_features,2GBRDBk7T7S9HH2qnb7hGz,spotify:track:2GBRDBk7T7S9HH2qnb7hGz,https://api.spotify.com/v1/tracks/2GBRDBk7T7S9HH2qnb7hGz,https://api.spotify.com/v1/audio-analysis/2GBRDBk7T7S9HH2qnb7hGz,303000,4
0.709,0.642,2,-9.551,1,0.0527,0.0417,0.898,0.0727,0.178,125.979,audio_features,1EQNQoNTxAhzj62OJ6z4q9,spotify:track:1EQNQoNTxAhzj62OJ6z4q9,https://api.spotify.com/v1/tracks/1EQNQoNTxAhzj62OJ6z4q9,https://api.spotify.com/v1/audio-analysis/1EQNQoNTxAhzj62OJ6z4q9,255476,4
0.703,0.751,7,-7.68,0,0.066,0.0354,0.58,0.0892,0.179,137.995,audio_features,3DhGxSaArP9Kf57DwcwMPQ,spotify:track:3DhGxSaArP9Kf57DwcwMPQ,https://api.spotify.com/v1/tracks/3DhGxSaArP9Kf57DwcwMPQ,https://api.spotify.com/v1/audio-analysis/3DhGxSaArP9Kf57DwcwMPQ,284718,4
0.605,0.882,6,-7.704,1,0.0457,0.00178,0.0772,0.312,0.253,128.986,audio_features,285RSaiXoWUu4aGmwpPVsC,spotify:track:285RSaiXoWUu4aGmwpPVsC,https://api.spotify.com/v1/tracks/285RSaiXoWUu4aGmwpPVsC,https://api.spotify.com/v1/audio-analysis/285RSaiXoWUu4aGmwpPVsC,249302,4
0.766,0.742,2,-8.47,1,0.0455,0.000155,0.836,0.0945,0.0395,122.997,audio_features,072Qm76a6d7h43UKUKNAsg,spotify:track:072Qm76a6d7h43UKUKNAsg,https://api.spotify.com/v1/tracks/072Qm76a6d7h43UKUKNAsg,https://api.spotify.com/v1/audio-analysis/072Qm76a6d7h43UKUKNAsg,386341,4
0.656,0.655,7,-6.766,0,0.024,0.02,0.00816,0.103,0.555,127.001,audio_features,3I10tZ5MgEMo4WryCNJkZQ,spotify:track:3I10tZ5MgEMo4WryCNJkZQ,https://api.spotify.com/v1/tracks/3I10tZ5MgEMo4WryCNJkZQ,https://api.spotify.com/v1/audio-analysis/3I10tZ5MgEMo4WryCNJkZQ,230946,4
0.741,0.905,0,-6.125,0,0.0558,0.086,0.883,0.0965,0.14,134.001,audio_features,4jqN3KRsKle122Y1mZu5Tz,spotify:track:4jqN3KRsKle122Y1mZu5Tz,https://api.spotify.com/v1/tracks/4jqN3KRsKle122Y1mZu5Tz,https://api.spotify.com/v1/audio-analysis/4jqN3KRsKle122Y1mZu5Tz,333374,4
0.771,0.76,9,-8.677,0,0.0536,0.00707,0.849,0.0606,0.742,128.996,audio_features,4OGZUfctkae6Bm4TRTrR3O,spotify:track:4OGZUfctkae6Bm4TRTrR3O,https://api.spotify.com/v1/tracks/4OGZUfctkae6Bm4TRTrR3O,https://api.spotify.com/v1/audio-analysis/4OGZUfctkae6Bm4TRTrR3O,328367,4
0.72,0.756,7,-9.701,1,0.0571,8.45e-05,0.922,0.134,0.345,123.995,audio_features,56G6BB9ICHGKEFSXgObA3T,spotify:track:56G6BB9ICHGKEFSXgObA3T,https://api.spotify.com/v1/tracks/56G6BB9ICHGKEFSXgObA3T,https://api.spotify.com/v1/audio-analysis/56G6BB9ICHGKEFSXgObA3T,488153,4
0.804,0.804,10,-11.074,0,0.0466,0.119,0.919,0.111,0.213,122.006,audio_features,0rlXTlCz5mRuUI8u2cQRL0,spotify:track:0rlXTlCz5mRuUI8u2cQRL0,https://api.spotify.com/v1/tracks/0rlXTlCz5mRuUI8u2cQRL0,https://api.spotify.com/v1/audio-analysis/0rlXTlCz5mRuUI8u2cQRL0,381000,4
0.76,0.883,6,-8.254,0,0.0594,0.00512,0.786,0.166,0.23,122.007,audio_features,3q4e7f2g9FeA6yh9PfS78H,spotify:track:3q4e7f2g9FeA6yh9PfS78H,https://api.spotify.com/v1/tracks/3q4e7f2g9FeA6yh9PfS78H,https://api.spotify.com/v1/audio-analysis/3q4e7f2g9FeA6yh9PfS78H,411158,4
0.631,0.817,2,-9.993,1,0.042,0.0248,0.366,0.0955,0.0604,123.981,audio_features,6gbcV35Fx1UG74mqXYCloC,spotify:track:6gbcV35Fx1UG74mqXYCloC,https://api.spotify.com/v1/tracks/6gbcV35Fx1UG74mqXYCloC,https://api.spotify.com/v1/audio-analysis/6gbcV35Fx1UG74mqXYCloC,314913,4
0.53,0.915,8,-7.484,0,0.0488,0.011,0.872,0.099,0.0298,124.013,audio_features,5LKU3Z1TiD70UgS3k4LBhH,spotify:track:5LKU3Z1TiD70UgS3k4LBhH,https://api.spotify.com/v1/tracks/5LKU3Z1TiD70UgS3k4LBhH,https://api.spotify.com/v1/audio-analysis/5LKU3Z1TiD70UgS3k4LBhH,237274,4
0.896,0.592,0,-10.787,0,0.0622,0.0104,0.798,0.105,0.438,123.993,audio_features,0BbfCWy6S6E9E79W4UhRyD,spotify:track:0BbfCWy6S6E9E79W4UhRyD,https://api.spotify.com/v1/tracks/0BbfCWy6S6E9E79W4UhRyD,https://api.spotify.com/v1/audio-analysis/0BbfCWy6S6E9E79W4UhRyD,382229,4
0.516,0.575,10,-10.101,0,0.0478,0.401,0.813,0.132,0.061,123.078,audio_features,7i1bsnDcFv4dnR4aIPjSGv,spotify:track:7i1bsnDcFv4dnR4aIPjSGv,https://api.spotify.com/v1/tracks/7i1bsnDcFv4dnR4aIPjSGv,https://api.spotify.com/v1/audio-analysis/7i1bsnDcFv4dnR4aIPjSGv,372874,4
0.597,0.647,4,-10.04,0,0.032,0.539,0.735,0.371,0.039,120.994,audio_features,4MA5ZAVcGUzomiE4uJSPUb,spotify:track:4MA5ZAVcGUzomiE4uJSPUb,https://api.spotify.com/v1/tracks/4MA5ZAVcGUzomiE4uJSPUb,https://api.spotify.com/v1/audio-analysis/4MA5ZAVcGUzomiE4uJSPUb,365069,4
0.779,0.727,11,-8.59,0,0.053,0.165,0.0194,0.32,0.455,124.021,audio_features,0fp6PDlnCkmdE0F3s0tfr6,spotify:track:0fp6PDlnCkmdE0F3s0tfr6,https://api.spotify.com/v1/tracks/0fp6PDlnCkmdE0F3s0tfr6,https://api.spotify.com/v1/audio-analysis/0fp6PDlnCkmdE0F3s0tfr6,171599,4
0.755,0.891,7,-8.592,1,0.043,0.0399,0.6,0.0756,0.338,124.007,audio_features,5twGTwrfKmxSc21cTGNPNn,spotify:track:5twGTwrfKmxSc21cTGNPNn,https://api.spotify.com/v1/tracks/5twGTwrfKmxSc21cTGNPNn,https://api.spotify.com/v1/audio-analysis/5twGTwrfKmxSc21cTGNPNn,441898,4
0.689,0.739,11,-8.825,1,0.0824,0.000891,0.942,0.181,0.248,119.962,audio_features,4zUqroe9fG1TOV9yKJVgVW,spotify:track:4zUqroe9fG1TOV9yKJVgVW,https://api.spotify.com/v1/tracks/4zUqroe9fG1TOV9yKJVgVW,https://api.spotify.com/v1/audio-analysis/4zUqroe9fG1TOV9yKJVgVW,229577,4
0.635,0.778,2,-11.224,1,0.0437,0.000856,0.824,0.0994,0.388,123.014,audio_features,6JLm4rcL6xcg7VmndwOj87,spotify:track:6JLm4rcL6xcg7VmndwOj87,https://api.spotify.com/v1/tracks/6JLm4rcL6xcg7VmndwOj87,https://api.spotify.com/v1/audio-analysis/6JLm4rcL6xcg7VmndwOj87,318171,4
0.805,0.746,9,-6.528,1,0.0455,0.0264,0.744,0.0695,0.386,121.008,audio_features,5oE3UrFw2cFuwMvgKNl4Ha,spotify:track:5oE3UrFw2cFuwMvgKNl4Ha,https://api.spotify.com/v1/tracks/5oE3UrFw2cFuwMvgKNl4Ha,https://api.spotify.com/v1/audio-analysis/5oE3UrFw2cFuwMvgKNl4Ha,449000,4
0.713,0.996,11,-6.821,0,0.211,0.00125,0.931,0.0518,0.165,127.992,audio_features,2LhrCbbtfCSyGpXPbzDlbw,spotify:track:2LhrCbbtfCSyGpXPbzDlbw,https://api.spotify.com/v1/tracks/2LhrCbbtfCSyGpXPbzDlbw,https://api.spotify.com/v1/audio-analysis/2LhrCbbtfCSyGpXPbzDlbw,391705,4
0.766,0.8,0,-6.37,1,0.117,0.00899,0.00214,0.165,0.647,126.002,audio_features,17DXxgIpmB5DMV96t9RlTE,spotify:track:17DXxgIpmB5DMV96t9RlTE,https://api.spotify.com/v1/tracks/17DXxgIpmB5DMV96t9RlTE,https://api.spotify.com/v1/audio-analysis/17DXxgIpmB5DMV96t9RlTE,233837,4
0.574,0.922,6,-6.309,1,0.042,0.0151,0.453,0.0835,0.705,126.002,audio_features,1MPfyPFjBE0e9GGWImKlXf,spotify:track:1MPfyPFjBE0e9GGWImKlXf,https://api.spotify.com/v1/tracks/1MPfyPFjBE0e9GGWImKlXf,https://api.spotify.com/v1/audio-analysis/1MPfyPFjBE0e9GGWImKlXf,227385,4
0.71,0.586,5,-11.336,0,0.0378,0.801,0.811,0.109,0.153,121.995,audio_features,0JsdRVcOPmk5MqlifhWPQl,spotify:track:0JsdRVcOPmk5MqlifhWPQl,https://api.spotify.com/v1/tracks/0JsdRVcOPmk5MqlifhWPQl,https://api.spotify.com/v1/audio-analysis/0JsdRVcOPmk5MqlifhWPQl,467086,3
